Австралия (AU)
Австрия (AT)
Азербайджан (AZ)
Албания (AL)
Алжир (DZ)
Ангола (AO)
Андорра (AD)
Антарктида (AQ)
Аргентина (AR)
Армения (AM)
Аруба (AW)
Афганистан (AF)
Багамы (BS)
Бангладеш (BD)
Барбадос (BB)
Бахрейн (BH)
Беларусь (BY)
Белиз (BZ)
Бельгия (BE)
Бенин (BJ)
Болгария (BG)
Боливия (BO)
Босния и Герцеговина (BA)
Ботсвана (BW)
Бразилия (BR)
Буркина-Фасо (BF)
Бурунди (BI)
Бутан (BT)
Вануату (VU)
Ватикан (VA)
Великобритания (GB)
Венгрия (HU)
Венесуэла (VE)
Вьетнам (VN)
Габон (GA)
Гаити (HT)
Гайана (GY)
Гамбия (GM)
Гана (GH)
Гваделупа (GP)
Гватемала (GT)
Гвинея (GN)
Гвинея-Бисау (GW)
Германия (DE)
Гибралтар (GI)
Гондурас (HN)
Гонконг (САР) (HK)
Гренада (GD)
Гренландия (GL)
Греция (GR)
Грузия (GE)
Гуам (GU)
Королевство Дания (DK)
Джерси (JE)
Доминиканская Республика (DO)
Египет (EG)
Замбия (ZM)
Зимбабве (ZW)
Израиль (IL)
Индия (IN)
Индонезия (ID)
Иордания (JO)
Ирак (IQ)
Иран (IR)
Ирландия (IE)
Исландия (IS)
Испания (ES)
Италия (IT)
Йемен (YE)
Кабо-Верде (CV)
Казахстан (KZ)
Камбоджа (KH)
Камерун (CM)
Канада (CA)
Катар (QA)
Кения (KE)
Кипр (CY)
Киргизия (KG)
Кирибати (KI)
Китай (CN)
Колумбия (CO)
Коста-Рика (CR)
Кот-д’Ивуар (CI)
Куба (CU)
Кувейт (KW)
Кюрасао (CW)
Лаос (LA)
Латвия (LV)
Лесото (LS)
Либерия (LR)
Ливан (LB)
Ливия (LY)
Литва (LT)
Лихтенштейн (LI)
Люксембург (LU)
Маврикий (MU)
Мавритания (MR)
Мадагаскар (MG)
Майотта (YT)
Макао (САР) (MO)
Малави (MW)
Малайзия (MY)
Мали (ML)
Мальдивы (MV)
Мальта (MT)
Марокко (MA)
Мексика (MX)
Мозамбик (MZ)
Молдова (MD)
Монако (MC)
Монголия (MN)
Монтсеррат (MS)
Мьянма(MM)
Намибия (NA)
Науру (NR)
Непал (NP)
Нигер (NE)
Нигерия (NG)
Нидерланды (NL)
Никарагуа (NI)
Ниуэ (NU)
Новая Зеландия (NZ)
Новая Каледония (NC)
Норвегия (NO)
ОАЭ (AE)
Оман (OM)
Пакистан (PK)
Палау (PW)
Панама (PA)
Парагвай (PY)
Перу (PE)
Польша (PL)
Португалия (PT)
Пуэрто-Рико (PR)
Республика Корея (KR)
Реюньон (RE)
Россия (RU)
Руанда (RW)
Румыния (RO)
Сальвадор (SV)
Сан-Марино (SM)
Сан-Томе и Принсипи (ST)
Саудовская Аравия (SA)
Северная Македония (MK)
Сейшельские Острова (SC)
Сенегал (SN)
Сент-Люсия (LC)
Сербия (RS)
Сингапур (SG)
Сирия (SY)
Словакия (SK)
Словения (SI)
Соединенные Штаты Америки (US)
Соломоновы Острова (SB)
Сомали (SO)
Судан (SD)
Суринам (SR)
Сьерра-Леоне (SL)
Таджикистан (TJ)
Таиланд (TH)
Тайвань (TW)
Танзания (TZ)
Того (TG)
Токелау (TK)
Тонга (TO)
Тринидад и Тобаго (TT)
Тувалу (TV)
Тунис (TN)
Туркменистан (TM)
Турция (TR)
Уганда (UG)
Узбекистан (UZ)
Украина (UA)
Уругвай (UY)
Фиджи (FJ)
Филиппины (PH)
Финляндия (FI)
Франция (FR)
Хорватия (HR)
Центрально-Африканская Республика (CF)
Чад (TD)
Черногория (ME)
Чехия (CZ)
Чили (CL)
Швейцария (CH)
Швеция (SE)
Шри-Ланка (LK)
Эквадор (EC)
Экваториальная Гвинея (GQ)
Эритрея (ER)
Эсватини (SZ)
Эстония (EE)
Эфиопия (ET)
Южно-Африканская Республика (ZA)
Южный Судан (SS)
Ямайка (JM)
Япония (JP)
